Step,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_212645 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_202254 - best_value,DeepEnsemble_maxsat60_std_20250514_201731 - best_value,DeepEnsemble_maxsat60_std_20250514_182748 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_182341 - best_value,maxsat60_mlp_20250514_171313 - best_value,maxsat60_mlp_20250514_161204 - best_value,DeepEnsemble_maxsat60_std_20250514_150405 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_144328 - best_value,BLOB_EnsembleEnsemble_BLOB_maxsat60_20250514_122241 - best_value,CSV_BLOB_maxsat60_20250514_104547 - best_value,CSV_BLOB_maxsat60_20250514_215952 - best_value,CSV_VBLL_maxsat60_dense_precision_multirank_20250514_215952 - best_value
112,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
113,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
114,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
115,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
116,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
117,,-192.3918152,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
118,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
119,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
120,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
121,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,-192.3918152
122,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,-192.3918152
123,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
124,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
125,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
126,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
127,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
128,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
129,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
130,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
131,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
132,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
133,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
134,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
135,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
136,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
137,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
138,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
139,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
140,,,-189.1309509,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
141,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
142,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
143,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
144,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
145,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
146,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
147,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
148,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,-189.1309509,-189.1309509,,
149,,,-192.3918152,-192.3918152,,,-192.3918152,-192.3918152,,,-189.1309509,,
150,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
151,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
152,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
153,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
154,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
155,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
156,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
157,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
158,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
159,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
160,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
161,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
162,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
163,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
164,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
165,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
166,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
167,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
168,,,-192.3918152,-192.3918152,,,,-192.3918152,,-189.1309509,-189.1309509,,
169,,,-192.3918152,-192.3918152,,,,-192.3918152,,,-189.1309509,,
