Step,DeepEnsemble_pest_control_std_20250514_170530 - best_value,DeepEnsemble_pest_control_std_20250514_150101 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_122025 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_105357 - best_value,CSV_BLOB_pest_control_20250514_104232 - best_value,CSV_BLOB_pest_control_20250514_104129 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_103000 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_005849 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_005805 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_003942 - best_value,BLOB_EnsembleEnsemble_BLOB_pest_control_20250514_003122 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250514_002747 - best_value,CSV_BLOB_pest_control_20250514_000511 - best_value,CSV_VBLL_pest_control_dense_precision_multirank_20250513_232018 - best_value,pest_control_mlp_20250514_175734 - best_value,pest_control_mlp_20250514_180403 - best_value
172,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
173,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
174,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
175,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
176,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
177,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
178,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
179,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
180,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
181,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
182,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
183,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
184,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
185,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
186,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
187,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
188,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
189,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
190,,12.5,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
191,,12.5,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
192,,,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
193,,,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
194,,,,12.5,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
195,,,,,12.5,,12.5,12.5,12.5,,,,12.6916,12.5,,
